timestamp,ear_ema,mar_ema,pitch,yolo_classes,status_text
1766758072.1303396,0.244,0.025,4.80,closed_mouth,NORMAL
1766758072.2278872,0.246,0.018,5.01,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758072.3264434,0.246,0.048,8.19,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758072.4190311,0.250,0.049,8.47,closed_mouth,NORMAL
1766758072.512575,0.256,0.049,9.35,closed_mouth,NORMAL
1766758072.604134,0.258,0.035,5.51,closed_mouth-closed_eyes-closed_eyes,DIKKAT! (Goz Kapandi)
1766758072.7192402,0.259,0.026,6.39,closed_mouth,NORMAL
1766758072.8015382,0.256,0.095,7.04,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758072.897147,0.253,0.068,9.29,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758073.009764,0.255,0.049,7.60,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758073.1053226,0.257,0.036,6.63,closed_mouth,NORMAL
1766758073.1985009,0.258,0.026,7.61,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758073.304106,0.258,0.020,7.46,closed_mouth-open_eyes-closed_eyes,DIKKAT! (Goz Kapandi)
1766758073.4207141,0.258,0.016,7.84,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758073.5049253,0.262,0.013,7.95,closed_mouth-open_eyes,NORMAL
1766758073.615069,0.258,0.011,8.64,closed_mouth,NORMAL
1766758073.7277145,0.254,0.009,9.82,closed_mouth,NORMAL
1766758073.8353448,0.254,0.008,10.11,closed_mouth,NORMAL
1766758073.9484572,0.253,0.007,10.05,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758074.0611148,0.252,0.007,8.68,closed_mouth-open_eyes-closed_eyes,DIKKAT! (Goz Kapandi)
1766758074.164708,0.249,0.006,8.50,closed_mouth,NORMAL
1766758074.2689588,0.237,0.006,7.92,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
