epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1174.3,1.037,0.5405,1.12242,0.86849,0.92752,0.87718,0.55472,1.33036,0.94831,1.45302,0.00038375,0.00038375,0.00038375
72,1190.93,1.02495,0.53383,1.12507,0.882,0.90088,0.89213,0.56348,1.34763,0.84438,1.46583,0.000371375,0.000371375,0.000371375
73,1207.39,1.01103,0.51298,1.10338,0.83402,0.9057,0.88205,0.56292,1.34424,0.96281,1.46041,0.000359,0.000359,0.000359
74,1223.63,1.01279,0.52233,1.10923,0.77058,0.87527,0.77311,0.50092,1.33669,1.05504,1.45339,0.000346625,0.000346625,0.000346625
75,1239.77,1.01844,0.5288,1.10266,0.87646,0.90712,0.88999,0.57321,1.3183,0.90332,1.43183,0.00033425,0.00033425,0.00033425
76,1255.91,0.99426,0.52022,1.08151,0.89365,0.92076,0.91851,0.57862,1.32533,0.72165,1.43926,0.000321875,0.000321875,0.000321875
77,1272.15,0.98744,0.51076,1.08861,0.74711,0.87546,0.74315,0.48492,1.32103,1.12932,1.44263,0.0003095,0.0003095,0.0003095
78,1288.2,0.99489,0.51595,1.09982,0.82505,0.90543,0.85035,0.54771,1.30783,0.86866,1.438,0.000297125,0.000297125,0.000297125
79,1304.47,0.98743,0.49758,1.09546,0.84994,0.90277,0.89239,0.56826,1.32231,0.78648,1.44602,0.00028475,0.00028475,0.00028475
80,1320.56,0.99548,0.51047,1.1048,0.85517,0.91281,0.88267,0.56194,1.34457,0.86674,1.46856,0.000272375,0.000272375,0.000272375
81,1336.51,0.98009,0.494,1.09084,0.90397,0.9149,0.91271,0.57573,1.361,0.75831,1.47396,0.00026,0.00026,0.00026
82,1352.91,0.98745,0.48948,1.09347,0.9271,0.90549,0.9307,0.58789,1.34614,0.67381,1.46412,0.000247625,0.000247625,0.000247625
83,1369.87,0.9782,0.49408,1.07548,0.91383,0.93248,0.93266,0.59704,1.33203,0.64714,1.45057,0.00023525,0.00023525,0.00023525
84,1386.47,0.96502,0.48384,1.08749,0.92987,0.92811,0.93294,0.59115,1.35196,0.65519,1.4654,0.000222875,0.000222875,0.000222875
85,1402.8,0.95008,0.49204,1.0817,0.90851,0.89578,0.90717,0.57672,1.32829,0.75568,1.45458,0.0002105,0.0002105,0.0002105
86,1418.93,0.96371,0.48164,1.08936,0.89337,0.9087,0.89575,0.57285,1.33071,0.80143,1.45886,0.000198125,0.000198125,0.000198125
87,1435.39,0.9593,0.48958,1.0776,0.90822,0.93118,0.90936,0.56838,1.36123,0.78112,1.48145,0.00018575,0.00018575,0.00018575
88,1451.8,0.93867,0.46905,1.07573,0.91096,0.92272,0.92682,0.59163,1.33338,0.68369,1.46534,0.000173375,0.000173375,0.000173375
89,1468.49,0.93734,0.47836,1.07793,0.91667,0.91326,0.92867,0.58079,1.3426,0.694,1.46925,0.000161,0.000161,0.000161
90,1485.02,0.9256,0.47589,1.05736,0.89163,0.91326,0.90638,0.5735,1.33546,0.82924,1.4613,0.000148625,0.000148625,0.000148625
91,1500.86,0.88661,0.40984,1.12032,0.88238,0.90077,0.88908,0.55284,1.34246,0.84765,1.4729,0.00013625,0.00013625,0.00013625
92,1516.87,0.86393,0.38781,1.08704,0.8955,0.90715,0.90342,0.56965,1.33431,0.77394,1.46991,0.000123875,0.000123875,0.000123875
93,1532.69,0.84904,0.38722,1.11567,0.87437,0.93288,0.90723,0.5698,1.33631,0.77584,1.46839,0.0001115,0.0001115,0.0001115
94,1549.22,0.83088,0.37198,1.07615,0.87504,0.8904,0.89776,0.56993,1.32833,0.82535,1.46851,9.9125e-05,9.9125e-05,9.9125e-05
95,1565.2,0.84335,0.37471,1.10693,0.86439,0.91434,0.90459,0.57567,1.3428,0.82176,1.47928,8.675e-05,8.675e-05,8.675e-05
96,1580.85,0.83191,0.37603,1.08677,0.88302,0.89201,0.90184,0.57484,1.33414,0.8221,1.47218,7.4375e-05,7.4375e-05,7.4375e-05
97,1596.89,0.84551,0.38165,1.09529,0.84697,0.92232,0.89116,0.56981,1.32861,0.8388,1.47049,6.2e-05,6.2e-05,6.2e-05
98,1613.16,0.83583,0.37174,1.08594,0.87182,0.9197,0.90408,0.56893,1.34102,0.80998,1.47845,4.9625e-05,4.9625e-05,4.9625e-05
99,1629.26,0.82878,0.37081,1.07911,0.88443,0.90744,0.90449,0.57749,1.33047,0.81136,1.47041,3.725e-05,3.725e-05,3.725e-05
100,1645.35,0.81328,0.36602,1.07772,0.8542,0.90738,0.87059,0.55629,1.33737,0.8642,1.47716,2.4875e-05,2.4875e-05,2.4875e-05
